127.0.0.1 - - [18/Nov/2016:10:16:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/move-top.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/css/owl.carousel.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/easing.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/css/clndr.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/moment-2.2.1.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/underscore-min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/site.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/clndr.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:19:00 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/move-top.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/css/owl.carousel.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/css/clndr.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/easing.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/moment-2.2.1.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/underscore-min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/clndr.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/site.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:42:25 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/ HTTP/1.1" 200 6587
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/css/owl.carousel.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/move-top.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/css/clndr.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/easing.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/underscore-min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/clndr.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/site.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/moment-2.2.1.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:38 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/css/owl.carousel.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/js/move-top.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/js/easing.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/css/clndr.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/js/underscore-min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/js/moment-2.2.1.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/js/clndr.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/js/site.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:41 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:42 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:43:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/css/owl.carousel.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/move-top.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/css/clndr.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/site.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/easing.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/underscore-min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/moment-2.2.1.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/clndr.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/css/owl.carousel.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/move-top.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/easing.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/css/clndr.css HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/underscore-min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/moment-2.2.1.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/clndr.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/site.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:11:18:14 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:57 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:57 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:57 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 200 46996
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:57 +0530] "GET /Collaboration/css/owl.carousel.css HTTP/1.1" 200 7817
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:57 +0530] "GET /Collaboration/js/move-top.js HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:57 +0530] "GET /Collaboration/js/easing.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:57 +0530] "GET /Collaboration/css/clndr.css HTTP/1.1" 200 5216
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:57 +0530] "GET /Collaboration/js/underscore-min.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:58 +0530] "GET /Collaboration/js/moment-2.2.1.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:58 +0530] "GET /Collaboration/js/clndr.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:58 +0530] "GET /Collaboration/js/site.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:58 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:58 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:58 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:59 +0530] "GET /Collaboration/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:59 +0530] "GET /Collaboration/images/bg.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:07:59 +0530] "GET /Collaboration/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/ HTTP/1.1" 200 5904
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 200 146082
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 200 46996
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/images/bg.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/fonts/FjallaOne-Regular.ttf HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:23 +0530] "GET /Collaboration/fonts/Montserrat-Regular.ttf HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:24 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:08:24 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 200 95992
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/underscore-min.js HTTP/1.1" 200 14358
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/clndr.js HTTP/1.1" 200 31007
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/site.js HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/moment-2.2.1.js HTTP/1.1" 200 94929
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:00 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:01 +0530] "GET /Collaboration/fonts/OpenSans-Regular.ttf HTTP/1.1" 200 217360
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:01 +0530] "GET /Collaboration/fonts/FjallaOne-Regular.ttf HTTP/1.1" 200 36572
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:01 +0530] "GET /Collaboration/images/bg.png HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 200 95992
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/images/bg.png HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/fonts/FjallaOne-Regular.ttf HTTP/1.1" 200 36572
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:13 +0530] "GET /Collaboration/fonts/Montserrat-Regular.ttf HTTP/1.1" 200 29016
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:11:16 +0530] "GET /Collaboration/fonts/OpenSans-Regular.ttf HTTP/1.1" 200 217360
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:14:43 +0530] "GET /Collaboration/fonts/Montserrat-Regular.ttf HTTP/1.1" 200 29016
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:44 +0530] "GET /Collaboration/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:44 +0530] "GET /Collaboration/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:44 +0530] "GET /Collaboration/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:44 +0530] "GET /Collaboration/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:45 +0530] "GET /Collaboration/js/menu_jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:45 +0530] "GET /Collaboration/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:45 +0530] "GET /Collaboration/js/signup_jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:45 +0530] "GET /Collaboration/fonts/FjallaOne-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:45 +0530] "GET /Collaboration/images/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:45 +0530] "GET /Collaboration/fonts/Montserrat-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:48 +0530] "GET /Collaboration/fonts/OpenSans-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2016:12:33:54 +0530] "GET /Collaboration/?email=&password= HTTP/1.1" 200 5904
